date,competitor,metric,size_sqft,rack_rate_pw_gbp,offer_rate_pw_gbp,promo_text,source_url,notes
2026-08-14,Shurgard Basildon,unit,20,16.62,8.31,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,"20 sq ft; from GitHub sweep (store page, full list)"
2026-08-14,Shurgard Basildon,unit,35,24,12.23,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,"35 sq ft; from GitHub sweep (store page, full list)"
2026-08-14,Shurgard Basildon,unit,50,33.23,16.62,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,"50 sq ft; from GitHub sweep (store page, full list)"
2026-08-14,Shurgard Basildon,unit,75,45.23,22.62,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,"75 sq ft; from GitHub sweep (store page, full list)"
2026-08-14,Big Top (own),unit,25,,27,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£117/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,35,,33,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£143/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,50,,41.08,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£178/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,75,,54,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£234/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,85,,60,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£260/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,100,,66.01,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£286/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,125,,75.01,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£325/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,150,,90.01,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£390/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Big Top (own),unit,175,,108.01,Opening offer: £1 for 6 weeks,https://www.bigtopselfstorage.com/reserve,£468/month inc VAT; weekly shown; from GitHub sweep
2026-08-14,Shurgard Basildon,unit,25,,8.54,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2244; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,30,,11.08,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2231; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,55,,17.77,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2747; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,100,,27.92,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2185; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,130,,32.08,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2220; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,150,,36.92,50% off first month (welcome £18.46/wk),https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2750; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,180,,39.23,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 2749; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,220,,41.31,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 4369; full ladder via units API (14 units total)
2026-08-14,Shurgard Basildon,unit,260,,48.23,£1 first month,https://www.shurgard.com/en-gb/api/stores/73/units,unit id 4356; full ladder via units API (14 units total)
2026-08-14,Make Space (Billericay),quote_after_test_form,50,49.98,34.98,50% off first 12 weeks (intro £17.49/wk); ongoing web price £34.98 vs standard £49.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,First captured quote via test-identity form; Billericay store serves Wickford/Basildon catchment
2026-08-15,Make Space (Billericay),quote_after_test_form,25,35.98,28.98,50% off first 12 weeks (intro £14.49/wk); ongoing web £28.98 vs standard £35.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; GitHub sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,50,49.98,34.98,50% off first 12 weeks (intro £17.49/wk); ongoing web £34.98 vs standard £49.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; GitHub sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,75,67.98,64.98,50% off first 12 weeks (intro £32.49/wk); ongoing web £64.98 vs standard £67.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; GitHub sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,100,88.98,75.98,50% off first 12 weeks (intro £37.99/wk); ongoing web £75.98 vs standard £88.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; GitHub sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,75,45.23,22.62,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,75 sq ft id=2196; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,50,33.23,16.62,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,50 sq ft id=2188; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,35,24.0,12.23,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,35 sq ft id=2241; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,20,15.69,8.08,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,Locker 20 sq ft id=3079; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,20,16.62,8.31,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,20 sq ft id=2236; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,25,16.85,8.54,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,25 sq ft id=2244; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,30,22.15,11.08,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,30 sq ft id=2231; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,55,35.08,17.77,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,55 sq ft id=2747; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,100,55.62,27.92,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,100 sq ft id=2185; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,130,64.15,32.08,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,130 sq ft id=2220; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,150,73.62,36.92,50% off first month; welcome £18.46153846153848/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,150 sq ft id=2750; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,180,78.69,39.23,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,180 sq ft id=2749; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,220,82.15,41.31,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,220 sq ft id=4369; sweep 2026-08-15
2026-08-15,Shurgard Basildon,unit,260,96.46,48.23,£1 first month; welcome £1/wk; special rate ends 21/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,260 sq ft id=4356; sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,10,17.98,12.98,50% off first 12 weeks (intro £6.49/wk); ongoing web £12.98 vs standard £17.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,16,21.98,14.98,50% off first 12 weeks (intro £7.49/wk); ongoing web £14.98 vs standard £21.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,35,40.98,22.98,50% off first 12 weeks (intro £11.49/wk); ongoing web £22.98 vs standard £40.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,125,106.98,101.98,50% off first 12 weeks (intro £50.99/wk); ongoing web £101.98 vs standard £106.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,150,109.98,109.98,50% off first 12 weeks (intro £54.99/wk); ongoing web £109.98 vs standard £109.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,175,126.98,126.98,50% off first 12 weeks (intro £63.49/wk); ongoing web £126.98 vs standard £126.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,200,150.98,143.98,50% off first 12 weeks (intro £71.99/wk); ongoing web £143.98 vs standard £150.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Make Space (Billericay),quote_after_test_form,250,165.98,165.98,50% off first 12 weeks (intro £82.99/wk); ongoing web £165.98 vs standard £165.98,https://www.makespaceselfstorage.co.uk/get-a-household-quote/?tool=home,Billericay store quote via test-identity form; full 13-size sweep 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,10,12.0,6.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,15,15.0,7.5,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,20,18.0,9.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,25,21.0,10.5,"50% off first 3 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,30,25.0,12.5,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,35,28.0,14.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,40,31.0,15.5,"50% off first 3 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,45,34.0,17.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,50,37.0,18.5,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,60,43.0,21.5,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,70,45.0,22.5,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,75,46.0,23.0,"50% off first 3 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,100,56.0,28.0,"50% off first 3 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,125,90.0,45.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,135,97.0,48.5,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,150,82.0,41.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,175,110.0,55.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,200,126.0,63.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,225,156.0,78.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,250,156.0,78.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Storage King Basildon,manual_quote,300,186.0,93.0,"50% off first 2 months, then standard, billed monthly",https://www.storageking.co.uk/get-a-quote/your-price/?store=basildon,Full 21-size ladder via user-driven Claude in Chrome (price step only) 2026-08-15
2026-08-15,Safestore Basildon,manual_quote,10,10.99,7.99,£1 first month,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,16,24.99,18.49,£1 first month,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,25,30.99,22.49,£1 first month,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,35,41.99,30.49,£1 first month,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,50,43.99,39.99,50% off first 8 weeks (intro £20.00/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,75,54.99,44.99,50% off first 8 weeks (intro £22.50/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,100,77.99,56.99,£1 first month,https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,125,94.99,85.99,50% off first 8 weeks (intro £43.00/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,150,107.49,97.49,50% off first 8 weeks (intro £48.75/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,175,112.49,101.99,50% off first 8 weeks (intro £51.00/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,200,106.99,96.99,50% off first 8 weeks (intro £48.50/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,250,160.49,145.49,50% off first 8 weeks (intro £72.75/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Safestore Basildon,manual_quote,500,351.99,319.99,50% off first 8 weeks (intro £160.00/wk),https://www.safestore.co.uk/get-a-quote/?siteid=0USAFESTORE-BASILD,"Manual human quote (Personal, 3mo, inc VAT) via Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,25,,27.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£117/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,35,,33.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£143/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,50,,41.08,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£178/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,75,,54.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£234/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,85,,60.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£260/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,100,,66.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£286/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,125,,75.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£325/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,150,,90.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£390/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,175,,108.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£468/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,225,,120.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£520/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,250,,138.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£598/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,300,,159.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£689/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-15,Big Top (own),ratecard,850,,501.00,£1 for first 6 weeks,https://www.bigtopselfstorage.com/,"Authoritative rate card (£2171/mo inc VAT, ÷52/12); provided by Vikas 2026-08-15"
2026-08-20,Shurgard Basildon,unit,75,47.31,23.77,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,35,24.92,12.46,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,50,34.15,17.08,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,20,15.69,8.08,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,20,16.62,8.31,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,25,16.85,8.54,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,30,22.62,11.31,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,55,36.23,18.23,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,65,43.15,21.69,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,100,55.62,27.92,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,130,66.23,33.23,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,150,73.62,36.92,50% off first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,180,80.31,40.15,50% off first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,260,98.77,49.62,£1 first month; special rate ends 27/08/2026,https://www.shurgard.com/en-gb/api/stores/73/units,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,75,,47.31,75 sq ft £1 FIRST MONTH'S RENT £47,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,75,,23.77,75 sq ft £1 FIRST MONTH'S RENT £47,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,35,,24.92,35 sq ft £1 FIRST MONTH'S RENT £24,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,35,,12.46,35 sq ft £1 FIRST MONTH'S RENT £24,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,50,,34.15,50 sq ft £1 FIRST MONTH'S RENT £34,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,50,,17.08,50 sq ft £1 FIRST MONTH'S RENT £34,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,20,,15.69,Locker 20 sq ft £1 FIRST MONTH'S RENT £15,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,20,,8.08,Locker 20 sq ft £1 FIRST MONTH'S RENT £15,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
2026-08-20,Shurgard Basildon,unit,20,,16.62,20 sq ft £1 FIRST MONTH'S RENT £16,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,daily Actions sweep
